rpid,name,content,like,rcount
2116617529,李大彪丶丶,"👍🏿👍🏿👍🏿👍🏿👍🏿👍🏿👍🏿👍🏿👍🏿👍🏿👍🏿
👍🏿👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏿
👍🏿👍🏾👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏾👍🏿
👍🏿👍🏾👍🏽👍🏼👍🏼👍🏼👍🏼👍🏼👍🏽👍🏾👍🏿
👍🏿👍🏾👍🏽👍🏼👍🏻👍🏻👍🏻👍🏼👍🏽👍🏾👍🏿
👍🏿👍🏾👍🏽👍🏼👍🏻👍👍🏻👍🏼👍🏽👍🏾👍🏿
👍🏿👍🏾👍🏽👍🏼👍🏻👍🏻👍🏻👍🏼👍🏽👍🏾👍🏿
👍🏿👍🏾👍🏽👍🏼👍🏼👍🏼👍🏼👍🏼👍🏽👍🏾👍🏿
👍🏿👍🏾👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏾👍🏿
👍🏿👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏿
👍🏿👍🏿👍🏿👍🏿👍🏿👍🏿👍🏿👍🏿👍🏿👍🏿👍🏿",1,0
2120214310,东南枝挂满了,离开地球表面，不是月球[捂脸],0,0
2132399061,铭心锴,感谢大佬[害羞],0,0
2136894180,pqpyqy,我爱孙燕姿,0,0
2149233377,shippooo,边听歌边寻找你…,0,0
2156562979,神龍child,离开地球表面吧？,0,0
2159559508,bili_28136331,啊啊啊啊,0,0
2164542678,一楼丶丶,我蒲公英的约定居然没有,3,0
2165250980,우주쪼꼬미,飞儿,0,0
2186672135,阿侬hobgoblin,左边,0,0
2187732800,一路向北啦啦啦啦,青花瓷第一,0,0
2200274705,Az就是Az啊,前方高能。。。,0,0
2203457760,如我美人星眸冷,回复 @陆黑尾 :两个币就能解决,0,0
2210519475,滚滚滚回来,为了青峰,0,0
2220562956,小丑戏子_,还有.  Or undo. M htiweg  M&#39; I’m u ‘,0,0
2220566209,小丑戏子_,S,0,0
2226135453,豆尖儿OvO,我有20首没听过,0,0
2238192834,羽皇冷冰焰,大部分都听过，还是熟悉的感觉，插眼，有空给歌单加几首歌,0,0
2240671626,大脸啊啊啊丶,潘帅,0,0
2249238561,那菈清心,下冒泡的等等我，一起走啊回忆啊,0,0
2251428979,不统一就绝对不改名,是个好人！！！！,0,0
2253254696,救命啊太热了,回复 @阿西吧你是真的皮 :哈哈哈哈哈哈，阿婆主好像说了排名不分先后,0,0
2275735115,喜欢你的陌生人,回復 @阿西吧你是真的皮 :那你自己排啊 神烦,0,0
2307097076,冷鸟ゼぇ,离开月球表面？？,0,0
2320640192,我是芯芯呀,第10个，是什么，不是地球吗,0,0
2323149728,小叶小叶不想熬夜,回复 @骑车卖报 :我们是最炫民族风,0,0
2326579881,刚哥吹罡风,感动天感动地也是07年的,0,0
2334313699,傲娇猫总,喜欢苏打绿,0,0
2380070876,悠流华,[吃瓜][吃瓜][吃瓜][吃瓜],1,0
2394910187,Refrainny,？？,0,0
2524392665,小伙伴4号,我嵩哥！,0,0
2588123970,我是小乔丹,全体起立,0,0
2589547396,红豆布丁冰奶茶,10是地球表面吧[tv_doge],0,0
2662322804,happykobe24,超级喜欢！！！！,0,0
2752307045,辣条swag,哈哈哈哈哈哈哈哈哈哈,0,0
2762659973,Flipped丶い,07年没彩虹就真的假,0,0
2904998412,剑气已橫秋,青花瓷才54。离谱。,0,0
2953236291,igniz_dragonxv,同问，蒲公英的约定呢,0,0
2978249954,_Jalousieeeee,回复 @阿西吧你是真的皮 :退后是依然范特西的.....,0,0
2990668585,星落Rider,青花瓷难道不是07年排行榜第一名？,0,0
3311692805,SZKangdr,n,0,0
3431926408,我是高比,杰伦有八个真的niub,0,0
3464571832,不爱吃饼干bIablabla,回复 @忌你忒美 :凤凰传奇才是重头戏,0,0
3540728887,Flipped丶い,差了个彩虹，蒲公英的约定,0,0
3768410785,晴落先森,没崇拜就很迷,0,0
3768828269,エキイ,光良的童话呢[嫌弃],0,0
3975238001,梦枕横舟听浪白,哈哈我在ktv唱过痒，我是男的，同事都笑疯了,0,0
4064852790,雁影云声断,最火的应该是陈楚生，横空出世形容都不为过,0,0
4110896184,粥粥南-的南极星,97年的全听过，可怕,0,0
4124260889,紫气东来X,感谢课代表[呲牙],0,0
4134254498,王里土唐の王子,玫瑰花的葬礼,0,0
4228055301,绿色篱笆,g,0,0
4275105661,混吃等死の老管家,辛苦,0,0
4416936656,萧瑟于秋,秋天不回来呢,0,0
4450354376,昕儿Ya,回复 @椿天麗棏湫天 :对对对，这才是经典！,0,0
4610461069,惑惑惑,玫瑰花的葬礼不配有名字吗[doge],0,0
4791962706,kelubi,这个列表都可以做成怀旧歌单听了，66666,0,0
5104345166,丶阿里文,回复 @エキイ :童话是更早的,0,0
5244689721,张三不叫三也不姓张,回复 @阿西吧你是真的皮 :周董已经有不少了,0,0
5442728919,大胖狗桃____,没有《万物生》？,0,0
5466201356,Red_Long,不是离开地球表面的吗,0,0
94206083120,TheCorleoneHan,没有周传雄吗，青花,0,0
95511405888,天天爆笑,回复 @阿西吧你是真的皮 :是啊！蒲公英的约定越听越好听完全不腻耶！！,0,0
99735762912,ikun癌鲲,回复 @通辽第一中单 :周杰伦表示我很忙,9,0
103812381584,卡拉肖克标,月光呢[傲娇],0,0
113010434592,潜水的小红球,第60嘛。。。。让我想起初二的时候,0,0
114451878880,绿萝uu,07年竟然就有了断桥残雪，没想到许嵩也是那个年代的,0,0
115977633264,潜水的小红球,第60我有点印象[笑哭],0,0
117644049792,泰康龙先生,姜玉阳 那么火都上不了榜？而李建那时候有几个知道他的？李建都能上榜？？你这是全凭个人喜好啊？？,0,0
124912806336,抱机liu,真的需要两个vip 然后反复横跳才能听,0,0
125023112080,简单就好2018,没有周传雄蓝色土耳其跟青花，差评,0,0
