rpid,name,content,like,rcount,sentiment_score,analysis_result,myown_analysis
1723225203,结缘神我老婆,回复 @丶琴瑟 :我可是个22的老大爷了[doge],16.0,0.0,0.44826047329660657,netural
1723225736,结缘神我老婆,回复 @玖菜包 :看来都老了[doge],8.0,0.0,0.2680938848327167,negative
1723521250,没有节操怎么肝到天亮,我已经开始听张国荣了,39.0,0.0,0.37843153601473567,netural
1723773623,梦魇____,回复 @杂交水稻之父-袁隆平 :很好听啊,1.0,0.0,0.9743893653294692,positive
1723857337,结缘神我老婆,回复 @梦魇758 :只是太过古董了,1.0,0.0,0.4452450739802901,netural
1724005607,海贼小高,就像我们爷爷也一直喜欢以前的粤剧一样啊，年龄分层了,7.0,0.0,0.9544974521400711,positive
1724811555,光年信箱,我的网盘存的剧还是那些,3.0,0.0,0.7222121284605965,positive
1725022718,呵呵了个呵的,回复 @杂交水稻之父-袁隆平 :霸王别姬[尴尬],3.0,0.0,0.9813963819542604,positive
1725049290,结缘神我老婆,回复 @呵呵了个呵的 :不喜欢那歌的曲风[无语]我喜欢听的是黄种人那种歌的曲风,2.0,0.0,0.9062191590211099,positive
1725708830,矮兔向前冲,回复 @杂交水稻之父-袁隆平 :先声明不是喷你，你叫这个id名字真的好吗？,5.0,0.0,0.5526538772756588,netural
1725785314,重仓空进去slsl,全民k歌自己唱的_(:D)∠)_都是这些类型的hhh,3.0,0.0,0.9910251235005052,positive
1725880623,欧式几何非欧几何,回复 @永爱丶新兰 :同，也就听听aga和许嵩的新歌了[呆][呆][呆]。,3.0,0.0,0.9961321897959686,positive
1726111232,古大猫哟,我已经考试同80年代的粤语歌了,4.0,0.0,0.9588516299558117,positive
1726244003,今天的我也妹有刷首推,巧了吗这不是,1.0,0.0,0.8566684810928555,positive
1726346700,徐凤年271,回复 @杂交水稻之父-袁隆平 :我也是,1.0,0.0,0.9785217147882319,positive
1727158119,万俟荔,回复 @杂交水稻之父-袁隆平 :我都开始听九百九十九朵玫瑰了,7.0,0.0,0.9990014512787599,positive
1727154640,万俟荔,回复 @杂交水稻之父-袁隆平 :22岁就有车了，我酸了。,2.0,0.0,0.9582621178198384,positive
1727159628,结缘神我老婆,回复 @万俟荔 :十多w的小破车加上贷款[大哭][大哭][大哭],0.0,0.0,0.7468181335124336,positive
1727485567,废柴少年5064988,回复 @杂交水稻之父-袁隆平 :啊，哈哈。😄,1.0,0.0,0.9761997926518623,positive
1727485964,废柴少年5064988,暴露年龄了，说是不是91年的?还是89左右?[滑稽],0.0,0.0,0.0527910651603658,negative
1727869363,大雷打,回复 @永爱丶新兰 :我都已经听30年前的歌了，哈哈,0.0,0.0,0.9393877062153918,positive
1728053297,雨雫下之越,以前我听这些，现在我就听听那些动画的oped。。,4.0,0.0,0.987465590007138,positive
1728189049,南秋风凉,回复 @杂交水稻之父-袁隆平 :你比我秀，我现在还在听霸王别姬,1.0,0.0,0.9943062988397825,positive
1728446903,小斌的小po,可怕 我也是,1.0,0.0,0.40540540540540504,netural
1728460117,夜雨凍,我的歌单里80%都是十几二十年前的这些老歌，真的耐听,10.0,0.0,0.8912197669403097,positive
1729035739,寂寞桫椤00,我也是,0.0,0.0,0.5262327818078083,netural
1729028704,寂寞桫椤00,华语的至少2010年后的我听的 就没更新了  日文和英文的还有些更新。,1.0,0.0,0.32633912407337395,netural
1729043460,寂寞桫椤00,回复 @我没写过去 :是挺好听的 而且我喜欢歌词,0.0,0.0,0.8613363211867066,positive
1729171488,四级是伤,现在流量明星这么多，好作品却很少,10.0,0.0,0.8341884103399835,positive
1729395012,faker大西瓜,回复 @没有节操怎么肝到天亮 :真的get不到张国荣的点,1.0,0.0,0.5578867090580311,netural
1729578826,易北小奶包,讲真的我在KTV唱凤凰传奇的歌，现场气氛就会嗨到炸哈哈哈,11.0,0.0,0.9799871137412884,positive
1729802150,小bor大,回复 @永爱丶新兰 :我也一样,0.0,0.0,0.8430920292844577,positive
1729913902,急風骤雨,可怕什么，我也是啊，哈哈哈,1.0,0.0,0.8020330678228421,positive
1730092976,火啊火的火,我们也变成了古董,1.0,0.0,0.7336073924358482,positive
1716039143,时间旅行者的笔记本,那时候有才华的都还是少年模样，现在的少年都是一个模样,21922.0,290.0,0.9999430534959534,positive
1716261687,好名字都被占勒,总感觉这些歌没那么老 没想到也已经是十四五年前的了[小电视_嘟嘴],15857.0,110.0,0.6942785850062541,netural
1717331756,嘿嘿投降输一半,敢不敢做一期19年的，我保证一首都不知道,14583.0,476.0,0.10731329339312168,negative
1719930635,UC奇趣百科小贱君,有小时候以前抄歌词的吗？,8453.0,294.0,0.9574576373469429,positive
1726045337,我只喝雪碧啊,可以理解我爸那些人为什么都喜欢听老歌了，我也慢慢变成这样的人了，歌真是一代不如一代，还是以前的好听,7180.0,327.0,0.9978296855405904,positive
1726090305,穷鬼ZERO,15年后，有人怀念“鸡你太美...背背”，我估计得疯,808.0,0.0,0.6382493581747889,netural
1726091079,我只喝雪碧啊,回复 @穷鬼ZERO :那时候估计没有好歌了,36.0,0.0,0.4642493269000887,netural
1728689085,fany寒_女娃_一线尉迟恭,还有更可怕的变化是，你发现你小时候父辈老唱的那几首老歌，慢慢的你觉得还挺好听了[惊讶][惊讶][大笑],2597.0,0.0,0.9999971870402251,positive
1728692653,我只喝雪碧啊,回复 @fany寒 :审美上来了,310.0,0.0,0.23070788920905105,negative
1729672957,传统名称,当时唱歌还能赚钱的，直接卖专辑。后来网络发达后产业就崩溃了，无奈,315.0,0.0,0.3664669398958078,netural
1730551554,直到灬世界de尽头,回复 @fany寒 :更可怕的是，随着年龄增长，我居然感觉传统曲艺也开始变得好听了。[尴尬][尴尬],921.0,0.0,0.4830369916157079,netural
1730645476,fany寒_女娃_一线尉迟恭,回复 @吴丶某某 :桃叶儿尖上尖，柳叶儿就遮满了天[惊讶][大笑][大笑],157.0,0.0,0.987101297426181,positive
1731797275,我只喝雪碧啊,回复 @无心の稻草人 :年龄再大一点，你就不会反感了,50.0,0.0,0.33902162767006905,netural
1734642617,西北霜雪,回复 @fany寒 :可不，追梦人什么的了解一下[呆],37.0,0.0,0.47369431049709265,netural
1735019935,的的啊喔,爸妈年代老歌无敌好听！！疯狂循环张学友（等！,96.0,0.0,0.6653781828638173,netural
1738086264,狂三酱的小跟班,回复 @吴丶某某 :我原来觉得，唱戏一点也不好听，现在很喜欢戏腔,111.0,0.0,0.5952277429126839,netural
1740230424,格洛米爱吃芒果,我也是的，最最近歌单的日推都是06前的歌了,14.0,0.0,0.8733753078260578,positive
1743610326,传统名称,其实很多老歌都是翻唱国外歌曲，香港当初除了黄家驹几乎就是汉化组，国内作词作曲大约05年左右开始刚有起色，就遇到互联网潮冲击，整个产业一下就垮了，不是简单的什么歌不好听了，而是不赚钱了。不赚钱谁还认真搞，又不是做慈善。,171.0,0.0,0.9998817111531314,positive
1744353728,o半指沙o,回复 @fany寒 :对头，这几年歌单里的，年代越来越老……,21.0,0.0,0.7519594043523581,positive
1749074249,夏日黄昏霞光,回复 @fany寒 :以前根本不喜欢邓丽君的我只在乎你，现在我有事没事都要唱两句,63.0,0.0,0.8664790936682286,positive
1749144104,坂丼丶神奈一村,回复 @fany寒 :[惊讶][惊讶][无语],5.0,0.0,0.5763349123576973,netural
1750328899,来碗豚骨拉面,回复 @吴丶某某 :已经开始陪外婆听戏曲了[害羞],19.0,0.0,0.9549782730932239,positive
1753411747,兮然是api单推人,回复 @fany寒 :我现在基本上听acg的歌 ，就是网上很火的流行华语歌都不听，抖音快手那些不玩是一个原因,28.0,0.0,0.11603270801164411,negative
1756122803,琴一兮,回复 @fany寒 :嗯，我现在就喜欢唱”一条大河波浪宽”，这首歌有特殊含义，关乎中国的大国梦,64.0,0.0,0.9959842587987774,positive
1756147415,Wang_De,回复 @哒哒哒死定了 :追梦人太真实了  我还有雨花石 要不一起听[蛆音娘_滑稽],14.0,0.0,0.474622937578733,netural
1756168234,fany寒_女娃_一线尉迟恭,回复 @琴芷君 :哈哈，我上大学的时候就发现以前父亲老唱的那首《高原红》还挺好听挺难唱的[惊讶][大笑],10.0,0.0,0.9999989327342074,positive
1756245783,司凌卡卡卡卡卡卡卡,高考前2个星期喜欢听国际歌了，emmmm,9.0,0.0,0.936982294815036,positive
1756645615,彼岸风吟丶,说明经典就是经典，小时候也觉得那些民歌听不下去，长大了慢慢又喜欢上了这些歌曲，国家队那一些人，唱功真的无敌。,56.0,0.0,0.9999965012029323,positive
1757008613,西北霜雪,回复 @Wang_De :雨花石岁数太嫩，我把口袋里的泪桥挪威森林掏了出来[画风突变],6.0,0.0,0.30803494273938103,netural
1757782908,Wang_De,回复 @哒哒哒死定了 :挪威的森林我也有  盛夏的果实听不听哈[画风突变],6.0,0.0,0.9760528472160658,positive
1758034877,西北霜雪,回复 @Wang_De :我靠，停停停，我怕你再掏出什么了不得的骚东西[画风突变],4.0,0.0,0.012750494110279509,negative
1759345087,iiaea,回复 @fany寒 :现在自己特喜欢听红歌了,8.0,0.0,0.6164326019695283,netural
1760680770,天人二世,回复 @吴丶某某 :最近喜欢上看川戏,3.0,0.0,0.9284188806192541,positive
1761237408,小布cxq,关键是在听听老爸他们歌也是好听，不像现在的口水歌,11.0,0.0,0.9917339915403519,positive
1761702509,上翘的胡子,回复 @fany寒 :还有更可怕的，这些父辈听的老歌，大部分made in JP,8.0,0.0,0.9852717795015562,positive
1762562147,姜海粼Haerin服了咩,小时候听戏曲京剧相当痛苦，觉得是噪音，现在听着很有感觉，大概是生活经历多了自然就感受得多了。其实我现在只有17岁，但是基本听的歌还是小时候听的，在学校听《红楼梦》的时候觉得打开了新世界的大门。好歌层出不穷，真正人才不会隐没。但是烂歌当道，失去了去挖掘现代好歌的欲望。现在网络上很火的其实我听着还是多数难听。曾经，是一种品味。,29.0,0.0,0.9999999999979527,positive
1763188691,卧扶贤妻,回复 @fany寒 :确实,1.0,0.0,0.43742649450500426,netural
1763696109,可乐豆豆星,回复 @吴丶某某 :我也是！！！京剧曲目我都会听两下,2.0,0.0,0.8503911844681432,positive
1763749528,小奇奇坏,以前喜欢逛庙会，因为人多热闹，现在喜欢逛庙会，因为可以看戏剧[doge][doge][doge],5.0,0.0,0.9983429550835597,positive
1763811065,我只喝雪碧啊,回复 @荒城孤骑 :什么地方还有庙会的？,2.0,0.0,0.8114600458006735,positive
1764836051,小奇奇坏,回复 @_月光- :我老家，甘肃，传统节日都有的,1.0,0.0,0.4584861657447794,netural
1765555153,狗晗丶,其实这就是慢慢欣赏层次发生了变化，之前觉得日韩歌，很好听，慢慢随着年龄增长，现在觉得中文歌才是最吊的，其中粤语歌更吊[微笑],18.0,0.0,0.9999454759480934,positive
1766179672,醉江风,回复 @吴丶某某 :我现在就听传统曲艺,0.0,0.0,0.8936112299120714,positive
1767617249,龙腾爪子,回复 @狗晗丶 :我反正相反，几年前听日本的，最近几年听韩国的，后来想找粤语，结果全他么都收费了[捂脸][捂脸],5.0,0.0,0.00011928955287454635,negative
1767748042,我叫乡秀树,回复 @fany寒 :对的，我爸特别喜欢齐秦，王杰的歌。小时候不以为意，结果现在我也疯狂的爱上了齐秦和王杰的歌了[惊讶]齐秦的嗓音简直是天籁之音啊,7.0,0.0,0.9999893502364446,positive
1767748979,我叫乡秀树,回复 @小布cxq :我爸特喜欢齐秦和王杰。小时候不喜欢听，觉得老歌很捞。结果现在疯狂的爱上了齐秦和王杰的歌[尴尬],4.0,0.0,0.9999957385103326,positive
1767912200,fany寒_女娃_一线尉迟恭,回复 @是你的枫呀 :不不不，这一点你说反了，王杰没出事之前那个嗓音才是真的天籁，可惜了造化弄人[委屈],4.0,0.0,0.15498074436095433,negative
1768161862,斗鱼TV旭旭妹妹,回复 @你是什么甜心熊 :罗大佑老师的童年[画风突变],2.0,0.0,0.9966415273469372,positive
1768192894,特特罗,回复 @吴丶某某 :真的，京剧昆曲才是传统音乐的精髓。比什么伪古风强多了。,7.0,0.0,0.9999123942162577,positive
1770674951,兔子不吃烤玉米,回复 @无心の稻草人 :以前我也是这样觉得的，现在嗯，真香,3.0,0.0,0.793098324122392,positive
1770881268,昵称太可怕,回复 @fany寒 :这个是真的！ 我现在都开始听 大花轿 中华民谣这一类的了！,1.0,0.0,0.6203381503732035,netural
1770885259,昵称太可怕,回复 @爱意圣者银空星 :京剧现在还是听不下去 主要是听不懂,0.0,0.0,0.9826368140518432,positive
1770885996,死神铃声,回复 @fany寒 :水手感觉如何,1.0,0.0,0.3102848254266707,netural
1773053117,赤兔红颜,爱江山～更爱美人～多少英雄好汉～宁愿孤单～不行不行，上头了。,11.0,0.0,0.8693240008767168,positive
1773389823,不同就好,回复 @穷鬼ZERO :这倒不会，随着时间推移，能不能有人记得还是个问题,0.0,0.0,0.8918966138620023,positive
1717871053,上上谦儿1,1.千年之恋,,,0.9411069592613159,positive
2.夜曲,,,,,0.5,netural
3.大城小爱,,,,,0.5,netural
4.一千年以后,,,,,0.5,netural
5.不得不爱,,,,,0.5,netural
6.不想长大,,,,,0.5,netural
7.就是爱你,,,,,0.5,netural
8.丝路,,,,,0.5,netural
9.知足,,,,,0.5,netural
10.大舌头,,,,,0.5,netural
11.被风吹过的夏天,,,,,0.5,netural
12.童话,,,,,0.5,netural
13.暧昧,,,,,0.5,netural
14.我会好好的,,,,,0.5,netural
15.寂寞沙洲冷,,,,,0.5,netural
16.美丽的神话,,,,,0.5,netural
17.黄种人,,,,,0.5,netural
18.莫斯科没有眼泪,,,,,0.5,netural
19.彩虹天堂,,,,,0.5,netural
20.那女孩对我说,,,,,0.5,netural
21.酸酸甜甜就是我,,,,,0.5,netural
22.笔记,,,,,0.5,netural
23.爸爸妈妈,,,,,0.5,netural
24.一直很安静,,,,,0.5,netural
25.六月的雨,,,,,0.5,netural
26.你到底爱谁,,,,,0.5,netural
27.一万个理由,,,,,0.5,netural
28.不怕不怕,,,,,0.5,netural
29.香水有毒,,,,,0.5,netural
30.月亮之上,,,,,0.5,netural
或许不完全，但选到的都是回忆啊,14165,558,,,0.19999999999999996,negative
1719110135,醴陵醴陵,92年的我全听过，是不是很老了,86.0,0.0,0.8201882623603909,positive
1719114926,上上谦儿1,回复 @Wifi16a :不你不老,7.0,0.0,0.048491730143588097,negative
1719305593,wusirAC,我就一首没听过,2.0,0.0,0.5334727365189225,netural
1719314800,lhr离酒,"回复 @Wifi16a :比你小几岁，这些我一个不落的都听过……
那时候我还是上小学，我老爹喜欢买CD，于是那时候一边放着VCD一边写作业……",25.0,0.0,0.9808967576155986,positive
1719408634,醴陵醴陵,我爸也喜欢听歌，家里穷没卖正版，买的都是那种一个盘几百首歌。,36.0,0.0,0.9953616111747275,positive
1719475807,淺梦゜,回复 @Wifi16a :92的肯定老了啊，都奔三了[嫌弃],9.0,0.0,0.1877340230612934,negative
1719520639,醴陵醴陵,回复 @淺梦゜ :唉！一不小心就老了，最好的年华错过了恋爱。,11.0,0.0,0.9878637276719728,positive
1719597821,账号已注销,回复 @Wifi16a :92年的是真的老了，我没有开玩笑[响指],16.0,0.0,0.018181699675691942,negative
1719923272,边走边回头容易摔,奔三就算老？难道不是事业上升期？三十就老下一步是不是可以准备轮椅了[滑稽],25.0,0.0,0.9284966007744241,positive
