video_title,bullet_time,bullet_content,sentiment_score,analysis_result
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-11-11 15:00:57,今天刚好双十一,0.6844334658971815,neutral
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-09-22 13:59:57,大家好才是真的号,0.36968528942036194,neutral
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-09-09 01:59:03,张学友张学友我们爱你,0.8271952925582761,positive
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-07-26 00:52:10,看这么久合集，这年终于我出生了hhh,0.8248456081611493,positive
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-07-04 11:35:51,我家闺女出生了 哈哈,0.48351727779317066,neutral
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-06-21 23:50:40,猛男快乐曲,0.8630530555797126,positive
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-06-17 14:57:10,张学友张学友我爱你,0.8271952925582761,positive
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-05-27 05:14:48,这首火了,0.5,neutral
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-05-18 14:11:48,鱼姐来了,0.5,neutral
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-05-18 14:08:54,它来了，它带着我两岁的回忆杀过来了,0.9370987478560839,positive
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-04-17 23:55:04,MV居然是他老婆,0.31833610451605343,neutral
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-04-10 23:44:11,神曲辈出的一年啊,0.7476715635332739,positive
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-03-28 23:29:30,徐怀钰,0.7122984518944286,positive
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-03-27 17:52:02,牵手也好火,0.38178259815726445,neutral
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-03-23 14:12:39,哈哈！up完全这个系列完全覆盖我的人生,0.9603101148107067,positive
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-03-20 09:08:47,我小时候好喜欢刘若英,0.976410453663556,positive
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-03-14 19:58:59,单厨狂喜,0.4607582675802573,neutral
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-03-13 23:15:27,啊啊啊 氧气！,0.7297953905324696,positive
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-03-09 00:42:07,动力火车的终于明白也很好听,0.6332004315614284,neutral
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-03-04 21:43:20,神奇的一年,0.8886256371189191,positive
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-02-27 23:02:43,张学友啊歌神,0.5592559274215568,neutral
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-02-04 22:31:04,神仙打架有点短啊,0.6021061368813497,neutral
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-02-04 22:30:12,哈哈哈哈哈ktv录的,0.905919630528343,positive
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-02-04 22:23:53,神剧产神曲,0.4960253045369134,neutral
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-02-04 19:33:35,开局即巅峰,0.7297953905324696,positive
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-01-21 17:49:31,游式唱腔很好听,0.4291733127831937,neutral
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2022-01-18 12:41:05,爱的就是你，哇哈哈纯净水,0.5696523610382753,neutral
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2021-12-18 15:16:11,唱跳歌手张学友！！,0.796214584431536,positive
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2021-12-16 23:00:09,98和95真是神仙打架,0.5765061868758266,neutral
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2021-11-20 13:10:33,神仙组合,0.8540561037510817,positive
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2021-11-20 13:04:43,雨蝶来了,0.7059514727817189,positive
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2021-11-11 21:56:13,二哥必须排面！！,0.19549831942680052,negative
【神仙打架】回顾1997年华语乐坛，首首都是神曲！,2021-10-02 23:35:44,啊啊啊啊啊啊！！！,0.8366980560597774,positive
