video_title,bullet_time,bullet_content
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-11-28 13:46:04,老式手机里仅存的歌
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-09-21 15:41:39,内地开始悲选秀歌手和网络歌手包围
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-08-29 21:44:10,痛！太痛了。开个玩笑，这可是我青春期最喜欢的歌之一
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-08-19 00:25:26,后来主唱拍仙剑去了 所以这个组合凉了（bushi）
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-08-15 17:08:11,《依然范特西》的MV都不错
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-08-10 20:15:51,妈妈问我为什么跪着看视频
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-08-03 00:26:12,神仙打架06年
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-07-23 16:38:30,大陆唯一的双人组合你把羽泉放哪里
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-07-22 20:10:57,爱转角遇见了鬼
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-07-22 17:52:29,小时候天天在家放披着羊皮的狼，邻居也疯狂，致回不去的青春
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-07-21 23:11:36,隐隐约约有听说啦
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-07-21 12:29:19,劲舞团玩家表示很淦。
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-07-13 22:06:13,他真的很有才华！
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-07-08 04:30:06,当你有一个男孩子在我情绪低落的时候送了我这首歌
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-07-07 12:21:47,月亮:承受了不该承受的重
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-30 01:44:40,《》最佳损友
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-29 15:42:46,萧亚轩真的很潮啊
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-19 21:48:57,等待良人归来那一刻，先做核酸检测
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-18 21:15:37,刚刚几首是不能输夹带私货吗哈哈哈
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-18 21:12:54,这些歌在当年也是属于好的啊 只是比较于现在完全都是王炸了
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-18 20:13:18,以前歌手真的全能，唱跳，演戏
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-18 02:42:03,握不住的青春，放不下的人
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-17 02:47:39,你再这么剪我真的要生气了啊！！！
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-16 01:08:40,《非常完美》最爱的歌哈哈哈
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-16 01:02:01,这歌原来是alin的，我喜欢她的只有一个理由
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-16 00:57:37,谢邀，人在婚礼！
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-14 12:42:11,《俺爱你，胡彦斌。》
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-13 22:11:54,今儿光起立了，腿软了，谁卖凳子？
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-13 21:55:47,那时候高中通宵网吧一直听这张专辑！！！
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-11 07:52:48,你肾不行～
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-10 20:57:10,为菈妮，我变成狼人模样
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-10 20:56:55,为菈妮，我变成狼人模样
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-07 19:33:57,腾格尔来了哈哈哈哈哈哈
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-07 01:36:12,八国翻译方大同
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-06 09:16:51,卧槽，真久就神仙打架呗
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-05 17:07:02,我仿佛瞬间跑到了2020
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-02 22:17:12,哭包王子，每次演唱会都哭出鼻涕泡哈哈哈哈哈哈
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-06-01 15:44:59,以前看这个MV一直觉得邻桌的女生对静轩有意思
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-05-27 19:32:32,很喜欢地铁女孩唱歌的版本。
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-05-27 17:34:52,你俩还手牵手，周董一生气直接送到千里之外！
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-05-27 11:32:08,你一票我一票，教主80还能跳
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-05-26 23:24:17,这个歌太太太有感觉了，旋律绝了张栋梁的声音绝了
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-05-23 12:42:55,李连杰:你再唱？再唱我揍你
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-05-22 23:22:19,艾克：欢迎来到祖安
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-05-18 12:42:16,车上挂的吊坠晃了起来 副驾驶皮包 以及一个纯金的车内饰品
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-05-13 14:37:00,母亲节代替世上只有妈妈好的神曲
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-05-13 14:35:09,最佳损友！！！！！！
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-05-10 11:26:24,还有《白狐》
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-05-10 10:25:10,《你行不行》
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-05-01 10:58:50,《我说嘿，你说嘿》
2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,2022-04-30 18:13:34,《腾格尔的翅膀》
